,ID,ID_LOCALITY,ID_MUNICIPALITY,UC_COL_ID_05,UC_COL_ID_03,UC_COL_ID_01
151,1201201640,1,101,TR,12,120120
152,1100301080,1,101,TR,11,110030
153,1100301280,1,101,TR,11,110030
154,1401000540,1,101,TR,14,140100
155,2202930665,1,110,TR,22,220293
156,3200981320,1,113,TR,32,320098
157,8611590240,3,303,TRH,86,861159
158,6605800420,1,103,TG,66,660580
159,8801710380,1,107,TR,88,880171
160,8801710381,1,107,TR,88,880171
161,8805620100,1,107,TR,88,880562
162,8805930300,1,107,TR,88,880593
163,8805930724,1,107,TR,88,880593
164,8810340014,1,107,TR,88,881034
165,8660000820,3,303,TR,86,866000
166,8666204000,3,303,TR,86,866620
167,8666300020,3,303,TR,86,866630
168,8666204420,3,303,TR,86,866620
169,8666200840,3,303,TR,86,866620
170,7002500380,1,103,TR,70,700250
171,4805140940,1,101,TR,48,480514
172,1402001940,1,101,TG,14,140200
173,1403700380,1,101,TR,14,140370
174,1403700880,1,101,TR,14,140370
175,6205382590,4,408,TG,62,620538
176,2401100900,1,106,TR,24,240110
177,2401161940,1,106,TR,24,240116
178,3815151120,1,102,TR,38,381515
179,8625764515,3,303,TR,86,862576
180,7601200080,1,101,TR,76,760120
181,7000400200,1,103,TR,70,700040
182,1603600480,1,101,TG,16,160360
183,1602901260,1,101,TG,16,160290
184,5608222980,1,101,TR,56,560822
185,5608222460,1,101,TR,56,560822
186,5608222600,1,101,TR,56,560822
187,2213461985,1,110,TR,22,221346
188,2213461990,1,110,TR,22,221346
189,1600501400,1,101,TG,16,160050
190,0100700200,1,101,TG,01,010070
191,0100800560,1,101,TG,01,010080
192,8630041860,3,303,TR,86,863004
193,8630650440,3,303,TR,86,863065
194,8017482660,1,109,TR,80,801748
195,8017540612,1,109,TR,80,801754
196,8017541580,1,109,TG,80,801754
197,8017541720,1,109,TR,80,801754
198,8017640800,1,109,TR,80,801764
199,8017681320,1,109,TR,80,801768
200,0102700030,1,101,TG,01,010270
201,0102600640,1,101,TG,01,010260
202,6600122340,1,103,TR,66,660012
203,6600122580,1,103,TR,66,660012
204,6600122580,1,103,TR,66,660012
205,6600122560,1,103,TG,66,660012
206,3605860016,1,103,TG,36,360586
207,3601200120,1,103,TIN,36,360120
